Batch,Divison,Home Location in*,Your Internet connection,Managing Learning Materials are,Class system perference,Your participation during faculty lecture,Gaps in learning and decline in academic performance,Weakening of relationships between friends and sense of community,How effective has online class been for you?,Experience about online classes
172,Dhaka,Village,Average,Avarage,Recorded video,Sleepy,Is a worry,Is a worry,Slightly effective,Average
182,Dhaka,Town,Average,Avarage,Youtube,Somewhat attentive,Do not know,Do not know,Slightly effective,Good
202,Chattogram,Village,Bad,Difficult,Recorded video,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Very Bad
191,Barishal,City,Very Good,Easy,Uploaded lecture notes,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Good
181,Barishal,Town,Average,Difficult,Youtube,Somewhat attentive,Is a worry,Is a worry,Moderately effective,Average
213,Dhaka,Town,Average,Easy,Youtube,Sleepy,Do not know,Do not know,Slightly effective,Average
192,Sylhet,City,Bad,Avarage,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Good
201,Rangpur,Town,Good,Difficult,Youtube,Sleepy,Is a worry,Is a worry,Slightly effective,Average
211,Rangpur,City,Average,Avarage,Recorded video,Sleepy,Do not know,Is a worry,Extremely effective,Very Good
202,Rajshahi,Village,Very Bad,Difficult,Youtube,Doing other activities,Do not know,Is a worry,Not at all effective,Very Bad
172,Rangpur,,Bad,Difficult,Youtube,Doing other activities,Is a worry,Is a worry,Slightly effective,Very Bad
193,Dhaka,City,Bad,Easy,Recorded video,Doing other activities,Is a worry,Isn't worry,Extremely effective,Good
172,Dhaka,Town,Average,Avarage,Recorded video,Doing other activities,Do not know,Do not know,Not at all effective,Very Bad
202,Dhaka,City,Good,Easy,Youtube,Doing other activities,Do not know,Isn't worry,Moderately effective,Average
193,Rangpur,Village,Very Bad,Difficult,Uploaded lecture notes,Doing other activities,Do not know,Isn't worry,Not at all effective,Very Bad
201,Barishal,City,Average,Difficult,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Good
193,Dhaka,City,Very Good,Avarage,Recorded video,Attentive,Is a worry,Do not know,Slightly effective,Good
173,Mymensingh,Village,Very Bad,Difficult,Youtube,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Bad
213,Rajshahi,City,Average,Avarage,Uploaded lecture notes,Doing other activities,Do not know,Do not know,Not at all effective,Very Bad
182,Chattogram,Town,Average,Difficult,Youtube,Sleepy,Isn't worry,Is a worry,Not at all effective,Bad
182,Dhaka,City,Very Good,Easy,Uploaded lecture notes,Somewhat attentive,Isn't worry,Do not know,Slightly effective,Very Good
183,Khulna,Village,Bad,Difficult,Youtube,Doing other activities,Is a worry,Is a worry,Moderately effective,Average
213,Rajshahi,Town,Average,Avarage,Recorded video,Sleepy,Do not know,Is a worry,Not at all effective,Bad
211,Mymensingh,Town,Average,Difficult,Recorded video,Attentive,Do not know,Do not know,Slightly effective,Average
182,Dhaka,City,Good,Easy,Recorded video,Somewhat attentive,Is a worry,Isn't worry,Moderately effective,Bad
192,Dhaka,Town,Good,Avarage,Youtube,Somewhat attentive,Is a worry,Isn't worry,Moderately effective,Average
203,Barishal,Village,Very Bad,Difficult,Online conference platforms,Sleepy,Isn't worry,Do not know,Slightly effective,Good
193,Rangpur,Town,Average,Easy,Recorded video,Attentive,Do not know,Isn't worry,Slightly effective,Good
172,Dhaka,City,Good,Avarage,Recorded video,Doing other activities,Do not know,Isn't worry,Slightly effective,Average
203,Dhaka,Town,Good,Avarage,Online conference platforms,Sleepy,Isn't worry,Isn't worry,Slightly effective,Very Bad
192,Dhaka,City,Good,Avarage,Recorded video,Doing other activities,Isn't worry,Do not know,Very effective,Good
213,Dhaka,City,Bad,Easy,Recorded video,Doing other activities,Do not know,Do not know,Very effective,Very Good
182,Barishal,Village,Bad,Difficult,Online conference platforms,Somewhat attentive,Is a worry,Isn't worry,Moderately effective,Very Bad
172,Sylhet,Town,Average,Easy,Uploaded lecture notes,Sleepy,Is a worry,Isn't worry,Not at all effective,Bad
182,Chattogram,Village,Bad,Avarage,Online conference platforms,Doing other activities,Do not know,Isn't worry,Not at all effective,Bad
193,Dhaka,Town,Average,Avarage,Recorded video,Attentive,Do not know,Do not know,Extremely effective,Very Good
181,Rajshahi,Village,Average,Easy,Online conference platforms,Somewhat attentive,Is a worry,Is a worry,Not at all effective,Bad
203,Barishal,Town,Good,Avarage,Uploaded lecture notes,Attentive,Is a worry,Isn't worry,Slightly effective,Average
191,Khulna,Town,Average,Easy,Recorded video,Attentive,Is a worry,Isn't worry,Moderately effective,Very Good
212,Dhaka,Town,Average,Avarage,Youtube,Sleepy,Do not know,Isn't worry,Extremely effective,Good
172,Chattogram,Town,Average,Difficult,Uploaded lecture notes,Somewhat attentive,Isn't worry,Isn't worry,Very effective,Very Good
213,Dhaka,City,Bad,Avarage,Recorded video,Doing other activities,Is a worry,Isn't worry,Moderately effective,Good
193,Rangpur,City,Bad,Easy,Recorded video,Somewhat attentive,Is a worry,Isn't worry,Slightly effective,Average
203,Barishal,Village,Bad,Difficult,Online conference platforms,Sleepy,Do not know,Is a worry,Moderately effective,Very Bad
211,Barishal,Town,Average,Easy,Online conference platforms,Somewhat attentive,Is a worry,Isn't worry,Not at all effective,Bad
191,Rajshahi,City,Good,Easy,Online conference platforms,Doing other activities,Isn't worry,Isn't worry,Very effective,Good
182,Barishal,Village,Very Bad,Avarage,Uploaded lecture notes,Sleepy,Do not know,Is a worry,Not at all effective,Very Bad
193,Dhaka,City,Average,Avarage,Youtube,Sleepy,Do not know,Do not know,Moderately effective,Average
182,Sylhet,Town,Average,Difficult,Youtube,Somewhat attentive,Do not know,Isn't worry,Slightly effective,Bad
211,Rajshahi,Town,Average,Avarage,Online conference platforms,Somewhat attentive,Isn't worry,Do not know,Not at all effective,Bad
183,Chattogram,Town,Average,Easy,Recorded video,Somewhat attentive,Is a worry,Do not know,Extremely effective,Very Good
182,Dhaka,City,Good,Easy,Uploaded lecture notes,Somewhat attentive,Do not know,Do not know,Slightly effective,Good
201,Dhaka,City,Good,Easy,Recorded video,Attentive,Is a worry,Isn't worry,Not at all effective,Bad
210,Mymensingh,City,Average,Avarage,Recorded video,Somewhat attentive,Is a worry,Do not know,Very effective,Average
181,Mymensingh,City,Average,Easy,Online conference platforms,Somewhat attentive,Isn't worry,Is a worry,Moderately effective,Very Good
203,Mymensingh,Town,Average,Avarage,Online conference platforms,Attentive,Isn't worry,Isn't worry,Slightly effective,Good
202,Dhaka,City,Average,Avarage,Recorded video,Somewhat attentive,Do not know,Do not know,Not at all effective,Bad
203,Mymensingh,City,Average,Easy,Uploaded lecture notes,Somewhat attentive,Is a worry,Is a worry,Slightly effective,Good
181,Barishal,Town,Average,Avarage,Uploaded lecture notes,Doing other activities,Is a worry,Isn't worry,Moderately effective,Average
210,Dhaka,City,Average,Avarage,Youtube,Somewhat attentive,Do not know,Isn't worry,Slightly effective,Bad
172,Mymensingh,Town,Average,Easy,Recorded video,Doing other activities,Do not know,Do not know,Slightly effective,Average
203,Dhaka,Town,Average,Avarage,Recorded video,Somewhat attentive,Isn't worry,Is a worry,Very effective,Good
211,Mymensingh,City,Bad,Avarage,Online conference platforms,Somewhat attentive,Isn't worry,Do not know,Not at all effective,Very Bad
203,Barishal,Village,Very Bad,Difficult,Youtube,Doing other activities,Do not know,Do not know,Not at all effective,Very Bad
191,Dhaka,Town,Average,Avarage,Uploaded lecture notes,Sleepy,Isn't worry,Is a worry,Not at all effective,Bad
